RSSI1,RSSI2,RSSI3,RSSI4,X,Y
42,55,71,65,1,1
42,56,65,65,1,1
41,55,65,69,1,1
42,55,71,68,1,1
42,56,65,69,1,1
42,53,65,65,1,1
43,56,60,69,1,1
42,56,71,64,1,1
41,56,65,68,1,1
42,56,67,69,1,1
42,53,71,69,1,1
42,53,65,69,1,1
41,55,69,70,1,1
41,55,65,69,1,1
41,56,59,65,1,1
42,55,62,64,1,1
42,56,60,69,1,1
43,56,64,65,1,1
42,56,61,69,1,1
42,55,61,70,1,1
42,53,70,69,1,1
43,56,61,69,1,1
42,55,61,69,1,1
43,55,65,69,1,1
42,56,60,65,1,1
42,55,70,69,1,1
42,55,64,69,1,1
42,53,71,69,1,1
43,56,61,69,1,1
42,53,62,67,1,1
43,55,60,65,1,1
42,53,61,65,1,1
41,55,61,65,1,1
43,56,65,65,1,1
43,53,61,65,1,1
42,55,71,65,1,1
43,53,69,69,1,1
42,53,70,69,1,1
41,55,61,69,1,1
43,55,60,65,1,1
42,56,61,69,1,1
42,56,65,65,1,1
41,53,70,65,1,1
42,53,65,65,1,1
41,56,70,69,1,1
42,55,70,69,1,1
42,56,61,69,1,1
42,55,61,65,1,1
42,53,61,65,1,1
41,55,71,69,1,1
43,58,65,65,1,1
43,57,70,69,1,1
42,56,65,68,1,1
41,53,70,69,1,1
42,55,65,68,1,1
43,55,61,69,1,1
41,55,61,68,1,1
42,53,61,68,1,1
42,56,65,68,1,1
43,56,65,64,1,1
43,56,62,65,1,1
42,53,60,69,1,1
43,53,60,65,1,1
41,53,69,68,1,1
41,56,64,68,1,1
41,56,70,65,1,1
42,53,65,69,1,1
43,55,60,65,1,1
42,56,60,66,1,1
42,56,65,69,1,1
42,53,71,69,1,1
42,56,60,64,1,1
42,55,64,69,1,1
42,55,61,69,1,1
42,53,64,69,1,1
42,53,60,69,1,1
41,53,65,69,1,1
42,56,71,64,1,1
43,55,71,69,1,1
42,55,65,65,1,1
41,55,64,69,1,1
